Player,Player Listing,Team,Games,Target,Rec,Yard,TD,Att,Yard,TD,FPTS,,
Michael Thomas,1. Michael Thomas,NO,16,185,149,1725,9,1,-9,0,225.6,,
Chris Godwin, 2. Chris Godwin,TB,14,120,86,1333,9,1,8,0,188.1,,
Kenny Golladay, 9. Kenny Golladay,DET,16,116,65,1190,11,0,0,0,185,,
Cooper Kupp, 4. Cooper Kupp,LAR,16,134,94,1161,10,2,4,0,176.5,,
Julio Jones, 3. Julio Jones,ATL,15,157,99,1394,6,2,-3,0,175.1,,
DeVante Parker, 11. DeVante Parker,MIA,16,128,72,1202,9,0,0,0,174.2,,
Amari Cooper, 10. Amari Cooper,DAL,16,119,79,1189,8,1,6,0,167.5,,
A.J. Brown, 21. A.J. Brown,TEN,16,84,52,1051,8,3,60,1,165.1,,
Mike Evans, 16. Mike Evans,TB,13,118,67,1157,8,0,0,0,163.7,,
DeAndre Hopkins, 5. DeAndre Hopkins,HOU,15,150,104,1165,7,2,18,0,160.3,,
Keenan Allen, 6. Keenan Allen,LAC,16,149,104,1199,6,3,16,0,157.5,,
Allen Robinson, 7. Allen Robinson,CHI,16,154,98,1147,7,1,2,0,156.9,,
Stefon Diggs, 20. Stefon Diggs,MIN,15,94,63,1130,6,5,61,0,155.1,,
Jarvis Landry, 12. Jarvis Landry,CLE,16,138,83,1174,6,1,10,0,154.4,,
Tyler Lockett, 13. Tyler Lockett,SEA,16,110,82,1057,8,4,-5,0,153.2,,
D.J. Chark, 18. D.J. Chark,JAC,15,118,73,1008,8,2,20,0,150.8,,
Julian Edelman, 8. Julian Edelman,NE,16,153,100,1117,6,8,27,0,150.4,,
Courtland Sutton, 19. Courtland Sutton,DEN,16,125,72,1112,6,3,17,0,148.9,,
Michael Gallup, 24. Michael Gallup,DAL,14,113,66,1107,6,0,0,0,146.7,,
D.J. Moore, 15. D.J. Moore,CAR,15,135,87,1175,4,6,40,0,145.5,,
Robert Woods, 14. Robert Woods,LAR,15,139,90,1134,2,17,115,1,142.9,,
John Brown, 22. John Brown,BUF,15,115,72,1060,6,2,7,0,142.7,,
Tyler Boyd, 17. Tyler Boyd,CIN,16,148,90,1046,5,4,23,0,136.9,,
Terry McLaurin, 29. Terry McLaurin,WAS,14,93,58,919,7,0,0,0,133.9,,
D.K. Metcalf, 30. DK Metcalf,SEA,16,100,58,900,7,2,11,0,133.1,,
Deebo Samuel, 31. Deebo Samuel,SF,15,81,57,802,3,14,159,3,132.1,,
Calvin Ridley, 27. Calvin Ridley,ATL,13,93,63,866,7,2,34,0,132,,
Marvin Jones, 28. Marvin Jones,DET,13,91,62,779,9,2,0,0,131.9,,
Tyreek Hill, 32. Tyreek Hill,KC,12,89,58,860,7,8,23,0,130.3,,
Davante Adams, 23. Davante Adams,GB,12,127,83,997,5,0,0,0,129.7,,
Odell Beckham Jr., 25. Odell Beckham Jr.,CLE,16,133,74,1035,4,3,10,0,128.5,,
Darius Slayton, 37. Darius Slayton,NYG,14,84,48,740,8,0,0,0,122,,
Jamison Crowder, 26. Jamison Crowder,NYJ,16,122,78,833,6,1,4,0,119.7,,
Curtis Samuel, 36. Curtis Samuel,CAR,16,105,54,627,6,19,130,1,117.7,,
Emmanuel Sanders, 33. Emmanuel Sanders,DEN,17,97,66,869,5,0,0,0,116.9,,
Cole Beasley, 34. Cole Beasley,BUF,15,106,67,778,6,0,0,0,113.8,,
Mike Williams, 39. Mike Williams,LAC,15,90,49,1001,2,1,2,0,112.3,,
Robby Anderson, 41. Robby Anderson,NYJ,16,96,52,779,5,1,4,0,108.3,,
Chris Conley, 43. Chris Conley,JAC,16,90,47,775,5,0,0,0,107.5,,
Golden Tate, 44. Golden Tate,NYG,11,85,49,676,6,1,16,0,105.2,,
Larry Fitzgerald, 35. Larry Fitzgerald,ARI,16,109,75,804,4,0,0,0,104.4,,
Breshad Perriman, 50. Breshad Perriman,TB,14,69,36,645,6,2,16,0,102.1,,
Diontae Johnson, 40. Diontae Johnson,PIT,16,92,59,680,5,4,41,0,102.1,,
Randall Cobb, 42. Randall Cobb,DAL,15,83,55,828,3,3,11,0,101.9,,
Tyrell Williams, 47. Tyrell Williams,LV,13,64,42,651,6,0,0,0,101.1,,
Marquise Brown, 46. Marquise Brown,BAL,14,71,46,584,7,0,0,0,100.4,,
Christian Kirk, 38. Christian Kirk,ARI,13,108,68,709,3,10,93,0,98.2,,
Dede Westbrook, 45. Dede Westbrook,JAC,15,101,66,660,3,5,27,0,86.7,,
Dede Westbrook,51. Dede Westbrook,JAC,15,101,66,660,3,5,27,0,86.7,,
Sammy Watkins, 49. Sammy Watkins,KC,13,90,52,673,3,2,12,0,86.5,,
Sammy Watkins, 52. Sammy Watkins,KC,13,90,52,673,3,2,12,0,86.5,,
Will Fuller, 53. Will Fuller,HOU,11,71,49,670,3,0,0,0,85,,
Hunter Renfrow, 54. Hunter Renfrow,LV,13,71,49,605,4,0,0,0,84.5,,
Adam Thielen, 55. Adam Thielen,MIN,10,48,30,418,6,4,6,1,84.4,,
Sterling Shepard, 48. Sterling Shepard,NYG,10,83,57,576,3,6,72,0,82.8,,
Sterling Shepard, 56. Sterling Shepard,NYG,10,83,57,576,3,6,72,0,82.8,,
T.Y. Hilton, 57. T.Y. Hilton,IND,10,68,45,501,5,0,0,0,80.1,,
Kenny Stills, 58. Kenny Stills,HOU,13,55,40,561,4,0,0,0,80.1,,
Alshon Jeffery, 59. Alshon Jeffery,PHI,10,73,43,490,4,1,2,1,79.2,,
Anthony Miller, 60. Anthony Miller,CHI,16,85,52,656,2,1,-1,0,77.5,,
Brandin Cooks, 61. Brandin Cooks,LAR,14,72,42,583,2,6,52,0,75.5,,
Danny Amendola, 62. Danny Amendola,DET,15,97,62,678,1,0,0,0,73.8,,
JuJu Smith-Schuster, 63. JuJu Smith-Schuster,PIT,12,70,42,552,3,0,0,0,73.2,,
Corey Davis, 64. Corey Davis,TEN,15,69,43,601,2,0,0,0,72.1,,
Phillip Dorsett, 65. Phillip Dorsett,NE,11,54,29,397,5,3,21,0,71.8,,
Steven Sims, 66. Steven Sims,WAS,13,56,34,310,4,9,85,1,69.5,,
John Ross, 67. John Ross,CIN,8,56,28,506,3,3,4,0,69,,
Demarcus Robinson, 68. Demarcus Robinson,KC,15,55,32,449,4,0,0,0,68.9,,
Allen Lazard, 69. Allen Lazard,GB,11,52,35,477,3,1,21,0,67.8,,
Kendrick Bourne, 70. Kendrick Bourne,SF,15,44,30,358,5,0,0,0,65.8,,
Mohamed Sanu, 71. Mohamed Sanu,ATL,15,89,59,520,2,3,11,0,65.1,,
Willie Snead, 72. Willie Snead,BAL,16,46,31,339,5,2,2,0,64.1,,
Auden Tate, 73. Auden Tate,CIN,12,80,40,575,1,0,0,0,63.5,,
Taylor Gabriel, 74. Taylor Gabriel,CHI,9,48,29,353,4,3,20,0,61.3,,
Preston Williams, 75. Preston Williams,MIA,8,60,32,428,3,0,0,0,60.8,,
Marquez Valdes-Scantling, 76. Marquez Valdes-Scantling,GB,15,56,26,452,2,2,9,0,58.1,,
Tajae Sharpe, 77. Tajae Sharpe,TEN,13,35,25,329,4,0,0,0,56.9,,
Alex Erickson, 78. Alex Erickson,CIN,15,78,43,529,0,5,33,0,56.2,,
Ted Ginn Jr., 79. Ted Ginn Jr.,NO,15,56,30,421,2,3,18,0,55.9,,
Nelson Agholor, 80. Nelson Agholor,PHI,11,69,39,363,3,2,7,0,55,,
Keelan Cole, 81. Keelan Cole,JAC,12,35,24,361,3,1,6,0,54.7,,
Allen Hurns, 82. Allen Hurns,MIA,14,47,32,416,2,0,0,0,53.6,,
Tre'Quan Smith, 83. Tre'Quan Smith,NO,10,25,18,234,5,0,0,0,53.4,,
Russell Gage, 84. Russell Gage,ATL,14,74,49,446,1,4,12,0,51.8,,
Adam Humphries, 85. Adam Humphries,TEN,12,47,37,374,2,1,1,0,49.5,,
Demaryius Thomas, 86. Demaryius Thomas,NYJ,11,58,36,433,1,0,0,0,49.3,,
Josh Gordon, 87. Josh Gordon,NE,11,47,27,426,1,1,1,0,48.7,,
Olabisi Johnson, 88. Olabisi Johnson,MIN,13,45,31,294,3,1,6,0,48,,
Albert Wilson, 89. Albert Wilson,MIA,13,62,43,351,1,5,45,0,45.6,,
David Moore, 90. David Moore,SEA,13,34,17,301,2,3,25,0,44.6,,
Cody Latimer, 91. Cody Latimer,NYG,13,42,24,300,2,0,0,0,42,,
Damiere Byrd, 92. Damiere Byrd,ARI,11,46,32,359,1,0,0,0,41.9,,
Geronimo Allison, 93. Geronimo Allison,GB,15,55,34,287,2,1,7,0,41.4,,
Josh Reynolds, 94. Josh Reynolds,LAR,15,43,21,326,1,5,23,0,40.9,,
Marcus Johnson, 95. Marcus Johnson,IND,8,33,17,277,2,0,0,0,39.7,,
Seth Roberts, 96. Seth Roberts,BAL,14,35,21,271,2,0,0,0,39.1,,
Miles Boykin, 97. Miles Boykin,BAL,12,22,13,198,3,0,0,0,37.8,,
Paul Richardson, 99. Paul Richardson,WAS,10,42,28,245,2,1,0,0,36.5,,
Kelvin Harmon, 98. Kelvin Harmon,WAS,13,44,30,365,0,0,0,0,36.5,,
Isaiah McKenzie, 100. Isaiah McKenzie,BUF,12,39,27,254,1,8,49,0,36.3,,
Jakobi Meyers,101. Jakobi Meyers,NE,11,41,26,359,0,0,0,0,35.9,,
DaeSean Hamilton, 102. DaeSean Hamilton,DEN,12,52,28,297,1,0,0,0,35.7,,
Tavon Austin, 103. Tavon Austin,DAL,13,24,13,177,1,6,47,1,34.4,,
Jaron Brown, 104. Jaron Brown,SEA,8,28,16,220,2,0,0,0,34,,
Vyncint Smith, 105. Vyncint Smith,NYJ,13,31,17,225,0,3,52,1,33.7,,
Marvin Hall, 107. Marvin Hall,DET,7,11,7,261,1,1,7,0,32.8,,
Keke Coutee, 106. Keke Coutee,HOU,8,36,22,254,0,2,14,1,32.8,,
Greg Ward, 108. Greg Ward,PHI,6,40,28,254,1,1,5,0,31.9,,
Chester Rogers, 109. Chester Rogers,IND,9,28,16,179,2,1,18,0,31.7,,
Malik Turner, 111. Malik Turner,SEA,10,22,15,245,1,0,0,0,30.5,,
Pharoh Cooper, 110. Pharoh Cooper,ARI,11,33,25,243,1,1,2,0,30.5,,
Jarius Wright, 112. Jarius Wright,CAR,16,58,28,296,0,1,-7,0,28.9,,
Jake Kumerow, 114. Jake Kumerow,GB,11,21,12,219,1,0,0,0,27.9,,
DeSean Jackson, 113. DeSean Jackson,PHI,3,10,9,159,2,0,0,0,27.9,,
Justin Watson, 115. Justin Watson,TB,6,26,15,159,2,0,0,0,27.9,,
Scotty Miller, 116. Scotty Miller,TB,9,26,13,200,1,2,16,0,27.6,,
N'Keal Harry, 117. N'Keal Harry,NE,7,24,12,105,2,5,49,0,27.4,,
Andy Isabella, 118. Andy Isabella,ARI,9,13,9,189,1,4,15,0,26.4,,
Marquise Goodwin, 119. Marquise Goodwin,SF,8,21,12,186,1,1,15,0,26.1,,
Damion Ratley, 120. Damion Ratley,CLE,9,24,12,200,1,0,0,0,26,,
Trey Quinn, 121. Trey Quinn,WAS,12,47,26,198,1,0,0,0,25.8,,
Isaiah Ford, 122. Isaiah Ford,MIA,8,35,23,244,0,1,11,0,25.5,,
KeeSean Johnson, 123. KeeSean Johnson,ARI,10,42,21,187,1,1,3,0,25,,
Javon Wims, 124. Javon Wims,CHI,11,39,18,186,1,0,0,0,24.6,,
Trevor Davis, 125. Trevor Davis,GB,7,11,8,111,0,4,73,1,24.4,,
Laquon Treadwell, 126. Laquon Treadwell,MIN,9,16,9,184,1,0,0,0,24.4,,
Byron Pringle, 127. Byron Pringle,KC,6,16,12,170,1,0,0,0,23,,
JJ Arcega-Whiteside, 128. JJ Arcega-Whiteside,PHI,8,22,10,169,1,0,0,0,22.9,,
Jakeem Grant, 129. Jakeem Grant,MIA,9,33,19,164,0,4,5,1,22.9,,
Dante Pettis, 130. Dante Pettis,SF,9,24,11,109,2,0,0,0,22.9,,
Duke Williams, 131. Duke Williams,BUF,4,19,12,166,1,0,0,0,22.6,,
Kalif Raymond, 132. Kalif Raymond,TEN,7,12,9,170,1,1,-5,0,22.5,,
Richie James, 133. Richie James,SF,7,10,6,165,1,2,-1,0,22.4,,
Parris Campbell, 134. Parris Campbell,IND,7,24,18,127,1,4,34,0,22.1,,
Zay Jones, 135. Zay Jones,BUF,14,45,27,216,0,1,3,0,21.9,,
Tim Patrick, 136. Tim Patrick,DEN,7,31,16,218,0,0,0,0,21.8,,
Bennie Fowler, 137. Bennie Fowler,NYG,8,36,23,193,0,1,20,0,21.3,,
Justin Hardy, 138. Justin Hardy,ATL,11,26,19,195,0,0,0,0,19.5,,
Cordarrelle Patterson, 139. Cordarrelle Patterson,CHI,12,17,11,83,0,17,103,0,18.6,,
Dontrelle Inman, 140. Dontrelle Inman,LAC,7,21,12,181,0,0,0,0,18.1,,
Olamide Zaccheaus, 141. Olamide Zaccheaus,ATL,3,5,3,115,1,0,0,0,17.5,,
Devin Smith, 142. Devin Smith,DAL,3,9,5,113,1,0,0,0,17.3,,
DeAndre Carter, 143. DeAndre Carter,HOU,6,14,11,162,0,0,0,0,16.2,,
Keelan Doss, 144. Keelan Doss,LV,6,14,11,133,0,0,0,0,13.3,,
Rico Gafford, 145. Rico Gafford,LV,2,2,2,66,1,0,0,0,12.6,,
Mack Hollins, 146. Mack Hollins,PHI,8,23,10,125,0,0,0,0,12.5,,
Deon Cain, 147. Deon Cain,IND,11,20,9,124,0,0,0,0,12.4,,
Antonio Brown, 148. Antonio Brown,NE,1,8,4,56,1,1,5,0,12.1,,
Marcell Ateman, 149. Marcell Ateman,LV,4,10,5,116,0,0,0,0,11.6,,
Braxton Berrios, 150. Braxton Berrios,NYJ,6,13,6,115,0,0,0,0,11.5,,
